symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
POLE	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	0	0	0	0.5363100000000003	No data	-0.3678985107556536	-0.7052854311146441	-1	No data	-1	No data	-1	0
SLC6A2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	1	1	0	0.7163699999999998	0	-0.6671814671814672	-0.8540901114029333	0	-1	No data	-0.1693674999999999	0.5	0.5
POLD2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	1	0.7121549999999999	No data	-0.0668505239933811	No data	-1	No data	No data	No data	-1	-1
POLA2	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.15551999999999994	No data	-0.4361831218974076	No data	-1	No data	No data	No data	-1	0
SCN5A	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7196049999999999	No data	-0.8251516822945395	-0.9766558707171413	0	-1	No data	-0.10173750000000012	1	0.5
TEC	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	1	0	1	1	0	0.7464350000000003	No data	-0.13557639271924982	0	0	No data	No data	0	-1	0
POLE3	0.07391597093694036	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12158615952232422	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0	0.6598649999999999	No data	0.31814671814671813	-0.7278541611047229	0	No data	No data	No data	-1	-1
ATP4A	0.05114345239063014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.08274613634158175	No data	No data	No data	No data	No data	No data	0.02761918720060431	No data	No data	1	1	0	0	1	0	0.8985500000000002	No data	-0.27435190292333145	-0.29269888059615334	0	No data	No data	-0.10627999999999993	1	0.5
SLC5A2	0.050476628203966416	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	No data	0.09242272380199619	0.32889056150788704	1	1	0	1	1	0	0.53125	1	0.40154440154440163	-0.3508419754899991	0	No data	No data	0	1	0.5
IL18	0.05043513243527867	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.06079307976116211	No data	No data	No data	No data	No data	No data	0.3084354357911967	No data	0.27344727276570713	0.75	0	1	0	1	0	0	No data	0.8977385548814121	-0.9049643218955041	0	No data	No data	No data	0.5	-1
